cik,ticker,company_name,company_name_normalized
1948455,ISPR,Ispire Technology Inc.,ispire technology
1948697,SPPL,SIMPPLE LTD.,simpple
1948864,HCWC,HEALTHY CHOICE WELLNESS CORP.,healthy choice wellness
1949257,RDPTF,Radiopharm Theranostics Ltd,radiopharm theranostics
1949257,RADX,Radiopharm Theranostics Ltd,radiopharm theranostics
1949478,DTCKF,DAVIS COMMODITIES Ltd,davis commodities
1949864,MGNC,Mag Magna Corp,mag magna
1950209,ZHDM,Ainnova Tech,ainnova tech
1951067,CISS,C3is Inc.,c3is
1951070,MH,"McGraw Hill, Inc.",mcgraw hill
1951089,CRTMF,Critical Metals Corp.,critical metals
1951089,CRML,Critical Metals Corp.,critical metals
1951089,CRMLW,Critical Metals Corp.,critical metals
1951222,LAES,SEALSQ Corp,sealsq
1951229,RITR,Reitar Logtech Holdings Ltd,reitar logtech holdings
1951276,SRBK,"SR Bancorp, Inc.",sr bancorp
1951294,VSME,VS MEDIA Holdings Ltd,vs media holdings
1951593,NNRGF,Ninepoint Energy Fund,ninepoint energy fund
1951593,NNPEF,Ninepoint Energy Fund,ninepoint energy fund
1951667,CTNT,CHEETAH NET SUPPLY CHAIN SERVICE INC.,cheetah net supply chain service
1952073,MSGE,Madison Square Garden Entertainment Corp.,madison square garden entertainment
1952670,TVCN,TV Channels Network Inc.,tv channels network
1952853,MAMO,Massimo Group,massimo group
1952976,NLOP,Net Lease Office Properties,net lease office properties
1953021,MPU,Mega Matrix Inc,mega matrix
1953366,STHO,Star Holdings,star holdings
1953530,OCS,Oculis Holding AG,oculis holding ag
1953530,OCSAW,Oculis Holding AG,oculis holding ag
1953575,CNL,Collective Mining Ltd.,collective mining
1953926,ZBIO,"Zenas BioPharma, Inc.",zenas biopharma
1953984,BCGWW,"Binah Capital Group, Inc.",binah capital group
1953984,BCG,"Binah Capital Group, Inc.",binah capital group
1953988,HLEO,Helio Corp /FL/,helio corp /fl/
1954269,GSIW,Garden Stage Ltd,garden stage
1954488,MENS,Jyong Biotech Ltd.,jyong biotech
1954594,HAO,Haoxi Health Technology Ltd,haoxi health technology
1954694,LGCL,Lucas GC Ltd,lucas gc
1955520,KNF,Knife River Corp,knife river
1956166,PMA,Ming Shing Group Holdings Ltd,ming shing group holdings
1956237,ALMP,Almco Plumbing Inc,almco plumbing
1956439,ENHA,Enhanced Group Inc.,enhanced group
1956648,NOEMU,CO2 Energy Transition Corp.,co2 energy transition
1956648,NOEMR,CO2 Energy Transition Corp.,co2 energy transition
1956648,NOEM,CO2 Energy Transition Corp.,co2 energy transition
1956648,NOEMW,CO2 Energy Transition Corp.,co2 energy transition
1956741,ZONE,"CleanCore Solutions, Inc.",cleancore solutions
1956744,TRON,Tron Inc.,tron
1956827,ABVX,Abivax S.A.,abivax s.a
1956827,AAVXF,Abivax S.A.,abivax s.a
1956955,UMAC,"Unusual Machines, Inc.",unusual machines
1957001,FEBO,Fenbo Holdings Ltd,fenbo holdings
1957132,SN,"SharkNinja, Inc.",sharkninja
1957413,DCX,Digital Currency X Technology Inc.,digital currency x technology
1957489,ABLVW,Able View Global Inc.,able view global
1957489,ABLV,Able View Global Inc.,able view global
1957538,OIO,OIO Group,oio group
1957538,OIOWW,OIO Group,oio group
1957783,MACT,"MachTen, Inc.",machten
1958086,CLB,Core Laboratories Inc. /DE/,core laboratories inc. /de/
1958133,DXST,Decent Holding Inc.,decent holding
1958140,BATRK,"Atlanta Braves Holdings, Inc.",atlanta braves holdings
1958140,BATRA,"Atlanta Braves Holdings, Inc.",atlanta braves holdings
1958140,BATRB,"Atlanta Braves Holdings, Inc.",atlanta braves holdings
1958217,LZM,Lifezone Metals Ltd,lifezone metals
1958217,LZM-WT,Lifezone Metals Ltd,lifezone metals
1958389,HYDTF,Hydreight Technologies Inc.,hydreight technologies
1958399,HCAI,"Huachen AI Parking Management Technology Holding Co., Ltd",huachen ai parking management technology holding co
1958489,CRGT,"Cortigent, Inc.",cortigent
1958713,MI,NFT Ltd,nft
1958777,FBLG,"FibroBiologics, Inc.",fibrobiologics
1958928,CTWO,COTWO ADVISORS PHYSICAL EUROPEAN CARBON ALLOWANCE TRUST,cotwo advisors physical european carbon allowance trust
1959023,RENX,RenX Enterprises Corp.,renx enterprises
1959224,AXG,"Solowin Holdings, Ltd.",solowin holdings
1959455,HSHP,Himalaya Shipping Ltd.,himalaya shipping
1959726,AZI,Autozi Internet Technology (Global) Ltd.,autozi internet technology (global)
1959994,COOTW,Australian Oilseeds Holdings Ltd,australian oilseeds holdings
1959994,COOT,Australian Oilseeds Holdings Ltd,australian oilseeds holdings
1960262,LUDG,"LUDWIG ENTERPRISES, INC.",ludwig enterprises
1960355,EXYN,"Exyn Technologies, Inc.",exyn technologies
1960355,EXYNW,"Exyn Technologies, Inc.",exyn technologies
