final_cik,breach_date,org_name,candidate_rank,candidate_cik,n_8k_in_window,status,win_lo,win_hi,predecessor_term,predecessor_name,resolution
896878,2016-04-29,Intuit,final_cik,896878.0,20.0,ok,2014-04-30,2016-10-26,,,
896878,2016-05-17,Intuit,final_cik,896878.0,21.0,ok,2014-05-18,2016-12-07,,,
896878,2016-05-27,Intuit,final_cik,896878.0,20.0,ok,2014-05-28,2016-11-23,,,
896878,2016-06-01,"Intuit, Inc.",final_cik,896878.0,20.0,ok,2014-06-02,2017-01-07,,,
896878,2016-06-09,Intuit Inc,final_cik,896878.0,20.0,ok,2014-06-10,2016-12-18,,,
896878,2016-08-03,Intuit Inc.,final_cik,896878.0,21.0,ok,2014-08-04,2017-02-15,,,
896878,2016-08-22,Intuit Inc.,final_cik,896878.0,21.0,ok,2014-08-23,2017-03-14,,,
896878,2016-09-12,Intuit Inc,final_cik,896878.0,21.0,ok,2014-09-13,2017-03-22,,,
896878,2016-09-26,Intuit Inc.,final_cik,896878.0,21.0,ok,2014-09-27,2017-03-25,,,
896878,2016-10-18,Intuit,final_cik,896878.0,21.0,ok,2014-10-19,2017-04-16,,,
896878,2016-10-23,Intuit Inc.,final_cik,896878.0,22.0,ok,2014-10-24,2017-05-17,,,
896878,2016-10-30,Intuit Inc,final_cik,896878.0,22.0,ok,2014-10-31,2017-05-09,,,
896878,2016-11-22,Intuit Inc,final_cik,896878.0,21.0,ok,2014-11-23,2017-06-10,,,
896878,2016-12-05,"Intuit, Inc.",final_cik,896878.0,21.0,ok,2014-12-06,2017-06-03,,,
896878,2016-12-13,"Intuit, Inc.",final_cik,896878.0,21.0,ok,2014-12-14,2017-06-11,,,
896878,2017-01-01,Intuit Inc.,final_cik,896878.0,25.0,ok,2015-01-02,2017-12-10,,,
896878,2017-01-12,Intuit Inc.,final_cik,896878.0,22.0,ok,2015-01-13,2017-07-25,,,
896878,2017-01-27,Intuit,final_cik,896878.0,21.0,ok,2015-01-28,2017-07-26,,,
896878,2017-02-13,"Intuit, Inc.",final_cik,896878.0,20.0,ok,2015-02-14,2017-08-20,,,
896878,2017-02-20,Intuit Inc.,final_cik,896878.0,20.0,ok,2015-02-21,2017-09-06,,,
896878,2017-02-28,Intuit Inc.,final_cik,896878.0,20.0,ok,2015-03-01,2017-09-13,,,
896878,2017-03-12,Intuit Inc.,final_cik,896878.0,20.0,ok,2015-03-13,2017-09-25,,,
896878,2017-04-02,"Intuit, Inc.",final_cik,896878.0,20.0,ok,2015-04-03,2017-10-14,,,
