accession,cik,filing_date,form,items,text_ok,section_found,section_chars,ref_dates,labels,exec_departure,ceo_departure,director_departure,appointment,election,compensation,notice_date,effective_date,previously_phrase,flag_retirement,flag_health,flag_transaction,flag_termination,flag_severance_release,flag_no_disagreement,action
0000076334-21-000013,76334,2021-01-27,8-K,5.02,1,1,1231,,,0,0,0,0,0,1,,,0,0,0,0,0,0,0,compensation only
0000076334-21-000048,76334,2021-04-22,8-K,5.02,1,1,1137,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001193125-21-246081,76334,2021-08-13,8-K,5.02,1,1,1850,,,0,0,0,1,0,1,,,0,0,0,0,0,0,0,appointment
0001193125-21-247770,76334,2021-08-16,8-K/A,5.02,1,1,923,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0001193125-21-247766,76334,2021-08-16,8-K/A,5.02,1,1,709,,,0,0,0,0,1,0,,,0,0,0,0,0,0,0,election
0001193125-22-204998,76334,2022-07-28,8-K,5.02,1,1,1094,2022-07-26;2022-08-31,,1,0,0,0,0,1,,,1,1,0,0,0,1,0,departure
0001193125-22-227588,76334,2022-08-23,8-K,5.02,1,1,7352,,,0,0,0,0,0,1,,,1,0,0,0,0,0,0,compensation only
0001193125-22-269129,76334,2022-10-26,8-K,5.02,1,1,4526,2022-10-26;2023-01-01;2023-12-31,,1,1,0,1,0,1,2022-10-26,,0,1,0,0,0,0,0,departure
0000077476-19-000020,77476,2019-03-07,8-K,5.02,1,1,1779,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0000077476-19-000022,77476,2019-03-18,8-K,5.02,1,1,636,2019-03-04,,0,0,0,1,0,1,,,1,0,0,0,0,0,0,appointment
0000077476-19-000051,77476,2019-06-11,8-K,5.02,1,1,292,2019-06-05,,1,0,0,0,0,1,2019-06-05,,0,0,0,0,0,0,0,departure
0000077476-20-000020,77476,2020-03-10,8-K,5.02,1,1,445,2020-03-06,,0,0,1,0,0,0,2020-03-06,,0,1,0,0,0,0,0,departure
0000077476-20-000054,77476,2020-07-07,8-K,5.02,1,1,1699,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0000077476-20-000075,77476,2020-11-02,8-K,5.02,1,1,2042,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0000077476-21-000044,77476,2021-08-05,8-K,5.02,1,1,1741,,,0,0,0,0,1,1,,,0,0,0,0,0,0,0,election
0000078003-05-000040,78003,2005-02-24,8-K,"5.02,5.03,9.01",1,1,3878,2005-02-24;2005-03-03,,0,0,0,1,0,0,,,0,0,0,0,0,0,0,appointment
0000078003-05-000041,78003,2005-02-25,8-K,5.02,1,1,397,,,0,0,1,0,0,1,,,0,0,0,0,0,0,0,departure
0000078003-05-000161,78003,2005-06-24,8-K,5.02,1,1,290,2005-06-24,,0,0,1,0,0,0,,,0,0,0,0,0,0,0,departure
0000078003-06-000195,78003,2006-08-03,8-K,"1.01,5.02,9.01",1,1,2753,2006-03-16;2007-02-28,,1,1,0,1,1,1,,,0,0,0,0,1,0,0,departure
0000078003-06-000275,78003,2006-10-26,8-K,"5.02,8.01",1,1,382,2006-10-26;2006-12-01,,0,0,0,0,0,0,,,0,0,0,0,0,0,0,other
